index,name,full_name,birth,death,birth_city,birth_province,succession,reign_start,reign_end,cause,killer,dynasty,era
61,Valentinian I,FLAVIVS VALENTINIANVS AVGVSTVS,0321-07-03T00:53:28+00:53,0375-11-17T00:53:28+00:53,Cibalae,Pannonia,Election,0364-02-26T00:53:28+00:53,0375-11-17T00:53:28+00:53,Natural Causes,Aneurism,Valentinian,Dominate
62,Valens,FLAVIVS IVLIVS VALENS AVGVSTVS,0328-01-01T00:53:28+00:53,0378-08-09T00:53:28+00:53,Cibalae,Pannonia,Birthright,0364-03-28T00:53:28+00:53,0378-08-09T00:53:28+00:53,Died in Battle,Opposing Army,Valentinian,Dominate
63,Gratian,FLAVIVS GRATIANVS AVGVSTVS,0359-04-18T00:53:28+00:53,0383-08-25T00:53:28+00:53,Sirmium,Pannonia,Birthright,0367-08-04T00:53:28+00:53,0383-08-25T00:53:28+00:53,Assassination,Own Army,Valentinian,Dominate
64,Valentinian II,FLAVIVS VALENTINIANVS INVICTVS AVGVSTVS,0371-01-01T00:53:28+00:53,0392-05-15T00:53:28+00:53,Milan,Italia,Birthright,0375-11-17T00:53:28+00:53,0392-05-15T00:53:28+00:53,Suicide,Unknown,Valentinian,Dominate
65,Theodosius I,FLAVIVS THEODOSIVS AVGVSTVS,0347-01-11T00:53:28+00:53,0395-01-17T00:53:28+00:53,Cauca,Hispania,Birthright,0379-01-01T00:53:28+00:53,0395-01-17T00:53:28+00:53,Natural Causes,Disease,Theodosian,Dominate
66,Maximinus II,CAESAR GALERIVS VALERIVS MAXIMINVS AVGVSTVS,0270-11-20T00:53:28+00:53,0313-08-01T00:53:28+00:53,,Dacia Aureliana,Birthright,0311-05-01T00:53:28+00:53,0313-08-01T00:53:28+00:53,Execution,Other Emperor,Constantinian,Dominate
67,Valens,FLAVIVS IVLIVS VALENS AVGVSTVS,0328-01-01T00:53:28+00:53,0378-08-09T00:53:28+00:53,Cibalae,Pannonia,Birthright,0364-03-28T00:53:28+00:53,0378-08-09T00:53:28+00:53,Died in Battle,Opposing Army,Valentinian,Dominate
68,Caligula,GAIVS IVLIVS CAESAR AVGVSTVS GERMANICVS,0012-08-31T00:53:28+00:53,0041-01-24T00:53:28+00:53,Antitum,Italia,Birthright,0037-03-18T00:53:28+00:53,0041-01-24T00:53:28+00:53,Assassination,Senate,Julio-Claudian,Principate
69,Numerian,CAESAR MARCVS AVRELIVS NVMERIVS NVMERIANVS AVGVSTVS,,0284-11-20T00:53:28+00:53,,,Birthright,0283-08-01T00:53:28+00:53,0284-11-20T00:53:28+00:53,Unknown,Unknown,Gordian,Principate
70,Vitellius,AVLVS VITELLIVS GERMANICVS AVGVSTVS,0015-09-24T00:53:28+00:53,0069-12-20T00:53:28+00:53,Rome,Italia,Seized Power,0069-04-17T00:53:28+00:53,0069-12-20T00:53:28+00:53,Assassination,Other Emperor,Flavian,Principate
